sku,name,color,category,gender,movement,price_suggested,status,description,brand,price,stock,,,,,,,,,,,,,,,sku,name,color,category,gender,movement,price_suggested,status,description,brand,price,stock,,
1960,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1960-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1960-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1960-7,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960-7,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1960-9,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960-9,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1960-10,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960-10,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1964-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1964-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1964-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1964-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1982-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1982-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1730134466208,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1730134466208,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
125012-S,RELOJES 3D ,,PARED 3D,HOGAR ,ANALOGO,,active,RELOJES 3D ,,,,,,,,,,,,,,,,,,125012-S,RELOJES 3D ,,PARED 3D,HOGAR ,ANALOGO,,active,RELOJES 3D ,,,,,
125012-SF2,RELOJES 3D ,,PARED 3D,HOGAR ,ANALOGO,,active,RELOJES 3D ,,,,,,,,,,,,,,,,,,125012-SF2,RELOJES 3D ,,PARED 3D,HOGAR ,ANALOGO,,active,RELOJES 3D ,,,,,
1514G-10,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1514G-10,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1815BG,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1815BG,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1815BG-3-02,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1815BG-3-02,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
